IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
033212-08032023,2023-03-08,2023,02:45:38,2,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,IG8,0,22305040,E09000026,REDBRIDGE,Redbridge,E05011236,BRIDGE,BRIDGE,,,541150,191750,,,London,Woodford,,,,,,,1,60,364,2.0
113106-28072023,2023-07-28,2023,02:00:17,2,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,SE2 9SQ,SE2,10010226778,20802046,E09000011,GREENWICH,Greenwich,E05014072,ABBEY WOOD,ABBEY WOOD,547350.0,179449.0,547350,179450,51.4947878785,0.1212533781,London,Erith,381.0,Plumstead,,,1.0,1.0,1,60,388,5.0
129769-26082023,2023-08-26,2023,05:24:21,5,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,E7,0,22207709,E09000025,NEWHAM,Newham,E05013911,FOREST GATE NORTH,FOREST GATE NORTH,,,540050,185550,,,London,Stratford,337.0,Stratford,521.0,Plaistow,2.0,2.0,2,60,388,1.0
146660-21092023,2023-09-21,2023,19:15:00,19,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,SE24 0PX,SE24,10008785458,21903294,E09000022,LAMBETH,Lambeth,E05014104,HERNE HILL & LOUGHBOROUGH JUNCTION,HERNE HILL & LOUGHBOROUGH JUNCTION,531768.0,174866.0,531750,174850,51.4574534481,-0.1047762476,London,Brixton,316.0,Brixton,,,1.0,1.0,1,60,388,1.0
188258-30112023,2023-11-30,2023,21:16:33,21,Special Service,Special Service,Effecting entry/exit,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,SE27,0,21900257,E09000022,LAMBETH,Lambeth,E05014106,KNIGHT'S HILL,KNIGHT'S HILL,,,531350,172250,,,London,West Norwood,265.0,West Norwood,,,1.0,1.0,1,60,388,1.0
158310-11102023,2023-10-11,2023,13:59:09,13,Special Service,Special Service,Assist other agencies,Outdoor,Road surface/pavement ,In street outside gazetteer location,E1 1BY,E1,6167030,22701339,E09000030,TOWER HAMLETS,Tower Hamlets,E05009333,SPITALFIELDS & BANGLATOWN,SPITALFIELDS & BANGLATOWN,534731.0,181825.0,534750,181850,51.5192930126,-0.0595051573,London,Whitechapel,35.0,Whitechapel,,,1.0,1.0,1,60,388,1.0
011596-24012023,2023-01-24,2023,07:57:40,7,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,UB2,0,20604997,E09000009,EALING,Ealing,E05013533,NORWOOD GREEN,NORWOOD GREEN,,,514750,180050,,,London,Southall,325.0,Southall,,,1.0,1.0,1,60,364,1.0
194634-11122023,2023-12-11,2023,13:25:06,13,False Alarm,AFA,,Non Residential,Warehouse ,Within same building,N7 9NY,N7,10093623945,21604337,E09000019,ISLINGTON,Islington,E05013700,CALEDONIAN,CALEDONIAN,530281.0,184565.0,530250,184550,51.5449550619,-0.1225950443,London,Holloway,234.0,Holloway,,,1.0,1.0,1,60,388,1.0
027738-24022023,2023-02-24,2023,20:05:19,20,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE26,0,22001165,E09000023,LEWISHAM,Lewisham,E05013731,SYDENHAM,SYDENHAM,,,535950,171650,,,London,Forest Hill,422.0,Forest Hill,,,1.0,1.0,1,253,1535,1.0
196414-14122023,2023-12-14,2023,16:07:55,16,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,On land associated with building,NW1 9LJ,NW1,5083131,20400535,E09000007,CAMDEN,Camden,E05013655,CAMDEN TOWN,CAMDEN TOWN,529060.0,184044.0,529050,184050,51.5405534452,-0.1403707154,London,Kentish Town,309.0,Euston,,,1.0,1.0,1,60,388,1.0
176075-10112023,2023-11-10,2023,10:25:10,10,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1R,0,20401034,E09000007,CAMDEN,Camden,E05013662,HOLBORN & COVENT GARDEN,HOLBORN & COVENT GARDEN,,,531150,182150,,,London,Soho,368.0,Soho,427.0,Soho,1.0,2.0,2,60,388,1.0
033234-08032023,2023-03-08,2023,06:18:40,6,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,TW12,0,22401207,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013778,HAMPTON,HAMPTON,,,513450,170450,,,London,Twickenham,466.0,Twickenham,536.0,Twickenham,1.0,2.0,2,60,364,1.0
008838-19012023,2023-01-19,2023,12:20:29,12,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SE17,0,22501415,E09000028,SOUTHWARK,Southwark,E05011102,FARADAY,FARADAY,,,533450,178350,,,London,Old Kent Road,423.0,Dockhead,,,1.0,1.0,1,60,364,1.0
044825-31032023,2023-03-31,2023,16:59:24,16,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W9,0,8401592,E09000033,WESTMINSTER,Westminster,E05013809,WESTBOURNE,WESTBOURNE,,,525550,182050,,,London,Paddington,164.0,Paddington,284.0,North Kensington,2.0,2.0,2,60,364,1.0
032973-07032023,2023-03-07,2023,15:16:26,15,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,SW4 0QP,SW4,100023362510,21900911,E09000022,LAMBETH,Lambeth,E05014102,CLAPHAM TOWN,CLAPHAM TOWN,529017.0,175538.0,529050,175550,51.4641217272,-0.1441046646,London,Clapham,212.0,Clapham,363.0,Battersea,2.0,2.0,2,60,364,1.0
167934-27102023,2023-10-27,2023,18:20:01,18,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,CR2,0,20501982,E09000008,CROYDON,Croydon,E05011484,SOUTH CROYDON,SOUTH CROYDON,,,532350,163050,,,London,Croydon,300.0,Croydon,354.0,Croydon,1.0,2.0,2,60,388,1.0
111978-26072023,2023-07-26,2023,10:29:01,10,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SE6,0,22001591,E09000023,LEWISHAM,Lewisham,E05013730,RUSHEY GREEN,RUSHEY GREEN,,,538050,173650,,,London,Lewisham,253.0,Lewisham,265.0,Lewisham,2.0,2.0,2,60,388,1.0
146966-22092023,2023-09-22,2023,09:33:52,9,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,RM7 7PJ,RM7,100023219286,21301073,E09000016,HAVERING,Havering,E05013983,ST. EDWARD'S,ST. EDWARD'S,550586.0,189425.0,550550,189450,51.5835719019,0.172100348,London,Romford,234.0,Romford,,,1.0,1.0,1,60,388,2.0
169159-29102023,2023-10-29,2023,19:21:01,19,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW4,0,21901331,E09000022,LAMBETH,Lambeth,E05014111,STOCKWELL WEST & LARKHALL,STOCKWELL WEST & LARKHALL,,,530450,176450,,,London,Brixton,324.0,Brixton,329.0,Brixton,1.0,2.0,2,60,388,1.0
141628-13092023,2023-09-13,2023,23:22:10,23,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,SE9 6TZ,SE9,10010255018,20801573,E09000011,GREENWICH,Greenwich,E05014083,KIDBROOKE PARK,KIDBROOKE PARK,542579.0,176258.0,542550,176250,51.467337335,0.0512912622,London,Eltham,304.0,Eltham,415.0,East Greenwich,2.0,2.0,2,60,388,1.0
165546-23102023,2023-10-23,2023,10:40:09,10,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,HA2 0RY,HA2,10002293472,21202030,E09000015,HARROW,Harrow,E05013563,WEST HARROW,WEST HARROW,513848.0,187239.0,513850,187250,51.5725377,-0.3585967,London,Northolt,317.0,Harrow,360.0,Northolt,2.0,2.0,2,60,388,1.0
181650-19112023,2023-11-19,2023,15:48:50,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,CR4,0,22103995,E09000024,MERTON,Merton,E05013814,FIGGE'S MARSH,FIGGE'S MARSH,,,527850,169450,,,London,Mitcham,417.0,Tooting,438.0,Wimbledon,2.0,2.0,2,60,388,1.0
073629-25052023,2023-05-25,2023,23:10:23,23,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW3,0,21700030,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009389,BROMPTON & HANS TOWN,BROMPTON & HANS TOWN,,,527450,179350,,,London,Chelsea,299.0,Kensington,363.0,Kensington,2.0,2.0,2,60,388,1.0
080253-05062023,2023-06-05,2023,17:15:18,17,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SW5,0,21700260,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009395,EARL'S COURT,EARL'S COURT,,,525650,178650,,,London,Kensington,360.0,Kensington,,,1.0,1.0,1,60,388,1.0
156111-08102023,2023-10-08,2023,00:35:46,0,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE8,0,22500499,E09000028,SOUTHWARK,Southwark,E05011112,ROTHERHITHE,ROTHERHITHE,,,536050,178850,,,London,Deptford,323.0,Deptford,,,1.0,1.0,1,60,388,1.0
171184-02112023,2023-11-02,2023,09:53:51,9,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,WC1B 3RF,WC1B,5086913,20401090,E09000007,CAMDEN,Camden,E05013653,BLOOMSBURY,BLOOMSBURY,529877.0,181766.0,529850,181750,51.5198912,-0.1294496,London,Euston,327.0,Euston,,,1.0,1.0,1,60,388,1.0
018538-06022023,2023-02-06,2023,15:11:59,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,HA2,0,21202107,E09000015,HARROW,Harrow,E05013559,ROXETH,ROXETH,,,513850,186150,,,London,Northolt,263.0,Northolt,581.0,Wembley,2.0,2.0,2,60,364,1.0
135904-05092023,2023-09-05,2023,16:15:44,16,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,DA16,0,20100129,E09000004,BEXLEY,Bexley,E05011224,EAST WICKHAM,EAST WICKHAM,,,547150,176650,,,London,Bexley,356.0,Plumstead,361.0,Plumstead,1.0,2.0,2,185,1196,1.0
054553-20042023,2023-04-20,2023,01:56:29,1,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,EN4,0,20007200,E09000003,BARNET,Barnet,E05013635,EAST BARNET,EAST BARNET,,,527950,195650,,,London,Barnet,290.0,Southgate,,,1.0,1.0,1,60,388,1.0
140069-11092023,2023-09-11,2023,08:23:59,8,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,SE11 6DN,SE11,100023230461,21901456,E09000022,LAMBETH,Lambeth,E05014105,KENNINGTON,KENNINGTON,531143.0,178849.0,531150,178850,51.493392971,-0.1122962225,London,Lambeth,228.0,Lambeth,,,1.0,1.0,1,60,388,2.0
057918-26042023,2023-04-26,2023,22:08:47,22,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N17,0,21106469,E09000014,HARINGEY,Haringey,E05013601,TOTTENHAM CENTRAL,TOTTENHAM CENTRAL,,,532950,189650,,,London,Tottenham,307.0,Tottenham,,,1.0,1.0,1,60,388,1.0
078037-02062023,2023-06-02,2023,05:53:31,5,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,CR9 7AL,CR9,10014052812,20500552,E09000008,CROYDON,Croydon,E05011462,ADDISCOMBE EAST,ADDISCOMBE EAST,534879.0,166647.0,534850,166650,51.3828558507,-0.0631461297,London,Woodside,188.0,Woodside,,,1.0,1.0,1,60,388,1.0
141969-14092023,2023-09-14,2023,15:35:31,15,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,WC2B 5SU,WC2B,100023430761,8400649,E09000033,WESTMINSTER,Westminster,E05013806,ST. JAMES'S,ST. JAMES'S,530568.0,181091.0,530550,181050,51.5136680027,-0.1197415384,London,Soho,397.0,Soho,,,1.0,1.0,1,60,388,3.0
083827-11062023,2023-06-11,2023,04:31:59,4,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,RM10,0,19900632,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014063,HEATH,HEATH,,,549450,186150,,,London,Dagenham,382.0,Dagenham,,,1.0,1.0,1,60,388,1.0
202808-25122023,2023-12-25,2023,18:19:20,18,Special Service,Special Service,No action (not false alarm),Dwelling,Self contained Sheltered Housing ,Correct incident location,,SM6,0,22605699,E09000029,SUTTON,Sutton,E05013771,WALLINGTON SOUTH,WALLINGTON SOUTH,,,528650,163850,,,London,Wallington,206.0,Wallington,,,1.0,1.0,1,60,388,1.0
199468-19122023,2023-12-19,2023,19:28:24,19,Special Service,Special Service,Medical Incident,Outdoor,Road surface/pavement ,On land associated with building,E11 4PG,E11,10095404463,22844950,E09000031,WALTHAM FOREST,Waltham Forest,E05013883,CATHALL,CATHALL,539251.0,186459.0,539250,186450,51.5598386282,0.0074342903,London,Leytonstone,132.0,Leytonstone,,,1.0,1.0,1,60,388,1.0
017954-05022023,2023-02-05,2023,13:09:27,13,Special Service,Special Service,RTC,Road Vehicle,Car ,In street remote from gazetteer location,TW7 7EH,TW7,10001272272,21500586,E09000018,HOUNSLOW,Hounslow,E05013623,HOUNSLOW SOUTH,HOUNSLOW SOUTH,514920.0,175350.0,514950,175350,51.4654628562,-0.3469992976,London,Heston,419.0,Heston,449.0,Feltham,2.0,2.0,2,60,364,1.0
055341-21042023,2023-04-21,2023,18:28:41,18,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,DA14,0,20100908,E09000004,BEXLEY,Bexley,E05011227,LONGLANDS,LONGLANDS,,,545450,172050,,,London,Sidcup,145.0,Sidcup,,,1.0,1.0,1,60,388,1.0
188970-02122023,2023-12-02,2023,00:28:12,0,False Alarm,False alarm - Good intent,,Outdoor,Grassland/ pasture/ grazing etc ,On land associated with building,UB7 7EH,UB7,10003001056,21401294,E09000017,HILLINGDON,Hillingdon,E05013581,WEST DRAYTON,WEST DRAYTON,505336.0,178977.0,505350,178950,51.4999321751,-0.4838352807,London,Hayes,469.0,Hayes,646.0,Heathrow,2.0,2.0,2,60,388,1.0
194021-10122023,2023-12-10,2023,13:28:48,13,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Within same building,HA7 1HH,HA7,100023038372,21200986,E09000015,HARROW,Harrow,E05013551,KENTON EAST,KENTON EAST,518706.0,189551.0,518750,189550,51.5923141,-0.2877529,London,Stanmore,231.0,Stanmore,239.0,Stanmore,1.0,2.0,2,60,388,1.0
194049-10122023,2023-12-10,2023,14:26:56,14,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Within same building,HA7 1HH,HA7,100023038372,21200986,E09000015,HARROW,Harrow,E05013551,KENTON EAST,KENTON EAST,518706.0,189551.0,518750,189550,51.5923141,-0.2877529,London,Stanmore,201.0,Stanmore,201.0,Stanmore,1.0,2.0,2,60,388,1.0
024949-18022023,2023-02-18,2023,22:03:59,22,Special Service,Special Service,Lift Release,Other Residential,Hotel/motel ,Correct incident location,E14 8QN,E14,6741992,22700743,E09000030,TOWER HAMLETS,Tower Hamlets,E05009326,LIMEHOUSE,LIMEHOUSE,537060.0,180813.0,537050,180850,51.5096313,-0.026354,London,Poplar,277.0,Millwall,,,1.0,1.0,1,60,364,1.0
064147-08052023,2023-05-08,2023,08:25:43,8,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Within same building,WC1N 1LT,WC1N,5124102,20400983,E09000007,CAMDEN,Camden,E05013653,BLOOMSBURY,BLOOMSBURY,530292.0,182156.0,530250,182150,51.5233006,-0.1233274,London,Euston,279.0,Soho,,,1.0,1.0,1,60,388,1.0
006711-15012023,2023-01-15,2023,12:03:41,12,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,N2 8LF,N2,200220375,20016180,E09000003,BARNET,Barnet,E05013636,EAST FINCHLEY,EAST FINCHLEY,526369.0,190281.0,526350,190250,51.5972134226,-0.1769252889,London,Finchley,143.0,Finchley,254.0,Finchley,1.0,2.0,2,60,364,1.0
086601-14062023,2023-06-14,2023,21:24:10,21,Fire,Primary Fire,,Outdoor,Woodland/forest - conifers/softwood ,Nearby address - no building in street,IG7 4QW,IG7,10023773354,22304722,E09000026,REDBRIDGE,Redbridge,E05011245,HAINAULT,HAINAULT,547138.0,192962.0,547150,192950,51.6162678922,0.1238471583,London,Hainault,414.0,Hainault,,,1.0,1.0,1,60,388,1.0
020491-10022023,2023-02-10,2023,10:42:47,10,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W9,0,8400514,E09000033,WESTMINSTER,Westminster,E05013800,MAIDA VALE,MAIDA VALE,,,525950,182950,,,London,Paddington,14.0,Paddington,,,1.0,1.0,1,60,364,1.0
091641-23062023,2023-06-23,2023,06:00:52,6,False Alarm,AFA,,Non Residential,Restaurant/cafe,Within same building,W6 7AF,W6,34030325,21000408,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,HAMMERSMITH BROADWAY,HAMMERSMITH BROADWAY,523357.0,178528.0,523350,178550,51.4922530758,-0.2245030532,London,Hammersmith,228.0,Hammersmith,,,1.0,1.0,1,60,388,1.0
143375-16092023,2023-09-16,2023,18:51:36,18,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,E1,0,22700314,E09000030,TOWER HAMLETS,Tower Hamlets,E05009334,STEPNEY GREEN,STEPNEY GREEN,,,535850,181350,,,London,Shadwell,333.0,Shadwell,,,1.0,1.0,1,60,388,1.0
113646-29072023,2023-07-29,2023,02:43:03,2,Special Service,Special Service,Rescue or evacuation from water,Outdoor,River/canal ,Open land/water - nearest gazetteer location,SW15 1LB,SW15,10059101394,22906420,E09000032,WANDSWORTH,Wandsworth,E05014022,THAMESFIELD,THAMESFIELD,523739.0,176127.0,523750,176150,51.4705949875,-0.2198332613,London,Wandsworth,,,,,,,1,60,388,1.0
158403-11102023,2023-10-11,2023,17:18:57,17,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW15,0,22902372,E09000032,WANDSWORTH,Wandsworth,E05014017,ROEHAMPTON,ROEHAMPTON,,,521850,174250,,,London,Wandsworth,568.0,Wandsworth,,,1.0,1.0,1,60,388,1.0
002833-06012023,2023-01-06,2023,21:23:14,21,False Alarm,AFA,,Non Residential,Pre School/nursery ,Correct incident location,UB9 6JH,UB9,10092982798,21400974,E09000017,HILLINGDON,Hillingdon,E05013568,HAREFIELD VILLAGE,HAREFIELD VILLAGE,505081.0,190730.0,505050,190750,51.605615001,-0.4840095969,London,Ruislip,425.0,Ruislip,,,1.0,1.0,1,60,364,1.0
045114-01042023,2023-04-01,2023,06:09:38,6,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,HA4 6RE,HA4,768011999,21401860,E09000017,HILLINGDON,Hillingdon,E05013579,SOUTH RUISLIP,SOUTH RUISLIP,510740.0,185105.0,510750,185150,51.5539736746,-0.4040883678,London,Ruislip,685.0,Northolt,,,1.0,1.0,1,60,388,1.0
156632-08102023,2023-10-08,2023,22:08:08,22,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE18,0,20800591,E09000011,GREENWICH,Greenwich,E05014094,WOOLWICH DOCKYARD,WOOLWICH DOCKYARD,,,542550,178950,,,London,East Greenwich,323.0,East Greenwich,,,1.0,1.0,1,60,388,1.0
004830-11012023,2023-01-11,2023,08:40:41,8,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,UB3 1DQ,UB3,10092981581,21401903,E09000017,HILLINGDON,Hillingdon,E05013569,HAYES TOWN,HAYES TOWN,508793.0,179896.0,508750,179850,51.5075385695,-0.4337801075,London,Hayes,389.0,Hayes,,,1.0,1.0,1,60,364,2.0
005960-13012023,2023-01-13,2023,18:04:44,18,Special Service,Special Service,Animal assistance incidents,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N15,0,21106383,E09000014,HARINGEY,Haringey,E05013598,SEVEN SISTERS,SEVEN SISTERS,,,533550,188750,,,London,Tottenham,450.0,Tottenham,,,1.0,1.0,1,60,364,1.0
151900-30092023,2023-09-30,2023,18:15:09,18,Special Service,Special Service,Flooding,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Within same building,,BR1,0,20300434,E09000006,BROMLEY,Bromley,E05013988,BICKLEY & SUNDRIDGE,BICKLEY & SUNDRIDGE,,,541050,169550,,,London,Bromley,206.0,Bromley,,,1.0,1.0,1,60,388,1.0
191141-05122023,2023-12-05,2023,16:15:13,16,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N11,0,20700993,E09000010,ENFIELD,Enfield,E05013686,NEW SOUTHGATE,NEW SOUTHGATE,,,529150,192050,,,London,Southgate,599.0,Finchley,627.0,Tottenham,4.0,4.0,4,95,614,2.0
157409-10102023,2023-10-10,2023,01:03:35,1,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,IG1,0,22303222,E09000026,REDBRIDGE,Redbridge,E05011253,VALENTINES,VALENTINES,,,543250,186550,,,London,Ilford,402.0,Ilford,,,1.0,1.0,1,60,388,1.0
000747-02012023,2023-01-02,2023,07:17:14,7,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW16,0,21900642,E09000022,LAMBETH,Lambeth,E05014115,STREATHAM ST. LEONARD'S,STREATHAM ST. LEONARD'S,,,529850,170550,,,London,Norbury,284.0,Norbury,,,1.0,1.0,1,60,364,1.0
087531-16062023,2023-06-16,2023,11:52:56,11,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW2,0,20202068,E09000005,BRENT,Brent,E05013517,WILLESDEN GREEN,WILLESDEN GREEN,,,522250,184950,,,London,Willesden,270.0,Willesden,,,1.0,1.0,1,60,388,1.0
113972-29072023,2023-07-29,2023,16:59:59,16,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW17,0,22903016,E09000032,WANDSWORTH,Wandsworth,E05014024,TOOTING BROADWAY,TOOTING BROADWAY,,,527850,170650,,,London,Tooting,121.0,Wimbledon,20.0,Wimbledon,2.0,3.0,3,60,388,1.0
169540-30102023,2023-10-30,2023,16:01:03,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW10,0,20202813,E09000005,BRENT,Brent,E05013510,STONEBRIDGE,STONEBRIDGE,,,521250,184850,,,London,Park Royal,737.0,Wembley,883.0,North Kensington,2.0,2.0,2,60,388,2.0
059297-29042023,2023-04-29,2023,12:07:03,12,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,NW1 0DX,NW1,5163716,20400650,E09000007,CAMDEN,Camden,E05013669,ST. PANCRAS & SOMERS TOWN,ST. PANCRAS & SOMERS TOWN,529342.0,183665.0,529350,183650,51.5370877172,-0.1364544797,London,Euston,212.0,Euston,,,1.0,1.0,1,60,388,1.0
065954-11052023,2023-05-11,2023,17:42:56,17,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,N17 0XE,N17,10025633440,21106004,E09000014,HARINGEY,Haringey,E05013596,NORTHUMBERLAND PARK,NORTHUMBERLAND PARK,534996.0,190592.0,534950,190550,51.5980118128,-0.0523226893,London,Tottenham,243.0,Tottenham,262.0,Tottenham,1.0,2.0,2,180,1164,3.0
052654-16042023,2023-04-16,2023,08:44:07,8,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,TW14,0,21500094,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,509950,173550,,,London,Feltham,530.0,Heston,,,1.0,1.0,1,60,388,1.0
157550-10102023,2023-10-10,2023,10:35:16,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SW11,0,22906431,E09000032,WANDSWORTH,Wandsworth,E05014010,BATTERSEA PARK,BATTERSEA PARK,,,528450,176650,,,London,Battersea,274.0,Clapham,290.0,Battersea,6.0,7.0,9,1233,7973,10.0
165581-23102023,2023-10-23,2023,12:30:49,12,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,WC1X 9HT,WC1X,5083821,20400904,E09000007,CAMDEN,Camden,E05013666,KING'S CROSS,KING'S CROSS,530605.0,182946.0,530650,182950,51.5303332549,-0.1185202998,London,Euston,275.0,Euston,,,1.0,1.0,1,60,388,1.0
165668-23102023,2023-10-23,2023,16:03:34,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SW12,0,21900276,E09000022,LAMBETH,Lambeth,E05014114,STREATHAM HILL WEST & THORNTON,STREATHAM HILL WEST & THORNTON,,,529550,173450,,,London,Tooting,339.0,Clapham,452.0,Tooting,2.0,2.0,2,60,388,1.0
203875-27122023,2023-12-27,2023,20:31:02,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE8,0,20801566,E09000011,GREENWICH,Greenwich,E05014080,GREENWICH CREEKSIDE,GREENWICH CREEKSIDE,,,537250,177950,,,London,Deptford,215.0,Deptford,,,1.0,1.0,1,60,388,1.0
085367-13062023,2023-06-13,2023,03:37:54,3,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,HA1,0,21201074,E09000015,HARROW,Harrow,E05013546,GREENHILL,GREENHILL,,,515850,188250,,,London,Harrow,355.0,Harrow,457.0,Wembley,2.0,2.0,2,60,388,1.0
178443-13112023,2023-11-13,2023,23:10:04,23,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W9,0,8400514,E09000033,WESTMINSTER,Westminster,E05013792,ABBEY ROAD,ABBEY ROAD,,,526350,182550,,,London,Paddington,198.0,Paddington,,,1.0,1.0,1,80,517,1.0
067747-15052023,2023-05-15,2023,04:34:27,4,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SW11,0,22901594,E09000032,WANDSWORTH,Wandsworth,E05014012,FALCONBROOK,FALCONBROOK,,,527350,175950,,,London,Battersea,254.0,Battersea,327.0,Clapham,3.0,3.0,3,60,388,1.0
